,Unnamed: 0,labeling_function,sub_task,model,head,replicate,k,score,value
197,197.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,2,brier,0.2501409940716748
198,198.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,2,auroc,0.5096268761200717
199,199.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,2,auprc,0.0173068483489469
200,200.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,2,brier,0.2501063758347627
201,201.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,4,auroc,0.5047595604013393
202,202.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,4,auprc,0.014515895533213
203,203.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,4,brier,0.2499377096585462
204,204.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,4,auroc,0.5826786624870308
205,205.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,4,auprc,0.0200208081100626
206,206.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,4,brier,0.2500053184280242
207,207.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,4,auroc,0.5185063254574609
208,208.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,4,auprc,0.0139548870891909
209,209.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,4,brier,0.2135064067696815
210,210.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,4,auroc,0.5121701462577816
211,211.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,4,auprc,0.0163636222172649
212,212.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,4,brier,0.3295850144734528
213,213.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,4,auroc,0.5016994692923505
214,214.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,4,auprc,0.0139721493466601
215,215.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,4,brier,0.6840176155068685
216,216.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,8,auroc,0.5068642045722506
217,217.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,8,auprc,0.0153294602510953
218,218.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,8,brier,0.2499942529546766
219,219.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,8,auroc,0.5854309733717695
220,220.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,8,auprc,0.0189549087952737
221,221.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,1,8,brier,0.2642322887577111
222,222.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,8,auroc,0.4510463385446142
223,223.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,8,auprc,0.0116558977875935
224,224.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,2,8,brier,0.5510153272236249
225,225.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,8,auroc,0.5204227275808809
226,226.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,8,auprc,0.0154397955523112
227,227.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,3,8,brier,0.3571562538098673
228,228.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,8,auroc,0.5126279608210715
229,229.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,8,auprc,0.0152161858982879
230,230.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,4,8,brier,0.2500200315056211
231,231.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,12,auroc,0.5192287422184494
232,232.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,12,auprc,0.01397725885086
233,233.0,lab_hypoglycemia,lab_hypoglycemia,count,lr_lbfgs,0,12,brier,0.4600170551322441
